               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12088,            0.078582,            0.047807,           0.0026627,            0.032047,           0.0009762,          0.00022955,             0.12286,            0.063323,            0.047768,              0.0002,              0.0002,              0.0982
                   1,             0.11889,            0.078615,            0.047317,           0.0034882,            0.032047,           0.0012508,          0.00032194,             0.11895,            0.066392,            0.046798,          0.00049835,          0.00049835,            0.095498
                   2,             0.11407,            0.082598,            0.046239,           0.0032464,            0.073363,           0.0016591,          0.00047499,             0.11156,            0.072458,            0.045025,          0.00079472,          0.00079472,            0.092795
                   3,             0.10778,            0.090204,            0.044667,           0.0052808,            0.046316,           0.0026103,          0.00071605,             0.10047,            0.081564,            0.043076,           0.0010891,           0.0010891,            0.090089
                   4,             0.10061,            0.091783,            0.042494,           0.0090735,             0.10652,           0.0049898,          0.00090771,            0.090422,            0.090603,            0.041128,           0.0013815,           0.0013815,            0.087382
                   5,            0.097529,             0.11127,             0.04131,            0.024134,             0.11725,            0.013514,           0.0022941,            0.084147,            0.096241,            0.038567,            0.001672,            0.001672,            0.084672
                   6,            0.094206,             0.10284,            0.039017,            0.015614,             0.20372,            0.011836,           0.0023982,             0.08212,             0.09611,            0.036111,           0.0019604,           0.0019604,             0.08196
                   7,            0.090382,            0.098856,            0.037391,            0.030985,              0.1252,            0.014546,           0.0025433,            0.080872,            0.095794,             0.03333,           0.0022469,           0.0022469,            0.079247
                   8,            0.088152,             0.10612,            0.035379,            0.029179,             0.32496,            0.024001,           0.0042284,             0.08158,             0.09825,            0.031991,           0.0025314,           0.0025314,            0.076531
                   9,            0.086845,             0.10965,            0.033944,            0.023302,             0.36034,            0.023994,           0.0058892,            0.081005,             0.10702,            0.030958,           0.0028139,           0.0028139,            0.073814
                  10,            0.084305,             0.11446,            0.032358,            0.069875,             0.29241,            0.030415,           0.0068427,             0.08071,             0.11415,            0.029765,           0.0030944,           0.0030944,            0.071094
                  11,              0.0815,             0.10769,             0.03067,               0.112,             0.36491,            0.071954,            0.016443,            0.074718,             0.11069,            0.028807,           0.0033729,           0.0033729,            0.068373
                  12,            0.079058,             0.10142,            0.029577,            0.098999,             0.37665,             0.10563,            0.019479,            0.071768,            0.099746,            0.026554,           0.0036495,           0.0036495,             0.06565
                  13,            0.077766,              0.1115,            0.028282,             0.12516,             0.36888,             0.13773,            0.032305,            0.070165,            0.097419,            0.023691,           0.0039241,           0.0039241,            0.062924
                  14,             0.07593,             0.10341,            0.025625,             0.17087,             0.35918,             0.12044,            0.024133,            0.073168,             0.10091,             0.02109,           0.0041967,           0.0041967,            0.060197
                  15,            0.077999,            0.092821,            0.022637,              0.1364,             0.59148,             0.17239,            0.035515,            0.069064,            0.090943,            0.016555,           0.0044673,           0.0044673,            0.057467
                  16,            0.073441,             0.11268,            0.020978,             0.18189,             0.51554,             0.23062,            0.038851,            0.068716,            0.098865,            0.015034,            0.004736,            0.004736,            0.054736
                  17,            0.074578,             0.11124,            0.019344,             0.12548,             0.26744,             0.10769,            0.022506,             0.08486,            0.096322,            0.013096,           0.0050027,           0.0050027,            0.052003
                  18,            0.088012,            0.089766,            0.017464,             0.14412,             0.30197,             0.11717,            0.023655,            0.089329,            0.070769,             0.01215,           0.0052674,           0.0052674,            0.049267
                  19,            0.088973,            0.084371,            0.016654,            0.069528,             0.32932,            0.074531,             0.01303,            0.089464,            0.068718,             0.01159,           0.0055301,           0.0055301,             0.04653
                  20,            0.092364,            0.083821,            0.014636,            0.096277,             0.48994,            0.089939,            0.017366,            0.085701,            0.072607,            0.010363,           0.0057908,           0.0057908,            0.043791
                  21,            0.090829,            0.087881,            0.013688,             0.11625,             0.52004,             0.14217,            0.031347,            0.079855,            0.081973,           0.0087513,           0.0060495,           0.0060495,             0.04105
                  22,            0.084588,            0.079527,            0.012217,             0.06456,             0.51277,            0.083522,            0.017386,            0.084733,            0.076853,           0.0070812,           0.0063063,           0.0063063,            0.038306
                  23,            0.084173,            0.089888,            0.011082,            0.078577,             0.38215,            0.079901,            0.014151,            0.086001,            0.087191,            0.005525,           0.0065611,           0.0065611,            0.035561
                  24,            0.089583,            0.083459,           0.0088119,             0.37602,             0.20094,             0.21082,             0.06941,            0.085712,            0.080369,           0.0052616,           0.0068139,           0.0068139,            0.032814
                  25,            0.084821,            0.089637,           0.0088471,             0.59321,             0.13636,             0.10835,            0.019654,            0.095651,            0.093315,            0.004221,           0.0070648,           0.0070648,            0.030065
                  26,            0.093523,            0.079484,           0.0076885,              0.1025,             0.44198,             0.15137,            0.026089,            0.091084,            0.066598,           0.0040509,           0.0073136,           0.0073136,            0.027314
                  27,            0.092987,            0.076027,            0.007567,             0.24655,             0.17969,             0.18908,            0.044198,            0.087261,            0.071417,           0.0034517,           0.0075605,           0.0075605,             0.02456
                  28,            0.088667,            0.074894,           0.0071351,             0.25316,             0.59475,             0.32986,            0.073316,            0.082805,            0.077179,            0.002996,           0.0078054,           0.0078054,            0.021805
                  29,             0.08304,            0.091008,           0.0066244,             0.20196,             0.66825,             0.33319,            0.092001,            0.079407,            0.098222,             0.00257,           0.0080483,           0.0080483,            0.019048
                  30,            0.083021,            0.083505,             0.00585,             0.15726,              0.2914,             0.14058,            0.029462,            0.088998,            0.093426,           0.0024372,           0.0082892,           0.0082892,            0.016289
                  31,            0.083169,            0.075763,           0.0057261,              0.2587,             0.54814,             0.28414,            0.057897,            0.078885,            0.076122,            0.002409,           0.0085281,           0.0085281,            0.013528
                  32,            0.078778,            0.090644,           0.0054186,             0.33225,             0.51776,             0.36707,            0.089191,             0.07895,            0.085261,           0.0020959,           0.0087651,           0.0087651,            0.010765
                  33,            0.076048,            0.080924,           0.0051895,             0.26266,             0.49309,             0.27169,            0.072007,            0.077079,             0.08125,           0.0019712,            0.008911,            0.008911,            0.008911
                  34,            0.080053,            0.082668,            0.004909,             0.11304,             0.60749,             0.13475,            0.032673,            0.081879,            0.084043,           0.0017875,            0.008911,            0.008911,            0.008911
                  35,            0.081017,            0.087898,           0.0051242,             0.44562,             0.48947,             0.41497,            0.098379,            0.073904,            0.088657,           0.0016879,            0.008878,            0.008878,            0.008878
                  36,            0.074142,            0.093936,           0.0052923,             0.33646,              0.5579,             0.34257,            0.076933,            0.073342,            0.096474,           0.0015802,            0.008845,            0.008845,            0.008845
                  37,            0.070816,            0.085611,           0.0048245,             0.24246,             0.58711,             0.36281,            0.093624,            0.072243,            0.080758,           0.0020999,            0.008812,            0.008812,            0.008812
                  38,            0.072977,            0.081439,           0.0047224,             0.16637,             0.65648,             0.17044,            0.032749,            0.078923,             0.08065,           0.0018762,            0.008779,            0.008779,            0.008779
                  39,            0.073237,            0.087279,           0.0045424,             0.28651,             0.53427,             0.34767,            0.082205,            0.072965,            0.085952,           0.0018822,            0.008746,            0.008746,            0.008746
                  40,            0.071563,            0.086012,            0.004237,             0.27177,             0.58481,             0.33371,            0.081658,            0.070938,            0.086367,           0.0016336,            0.008713,            0.008713,            0.008713
                  41,            0.066588,            0.081881,           0.0044051,             0.45774,             0.55287,             0.47407,             0.12962,            0.066918,            0.090006,           0.0014739,             0.00868,             0.00868,             0.00868
                  42,               0.071,            0.089661,            0.004341,             0.35539,             0.62366,             0.46097,             0.13472,            0.068083,            0.085001,           0.0013943,            0.008647,            0.008647,            0.008647
                  43,            0.068463,            0.084916,           0.0037888,             0.40692,             0.67418,             0.44737,             0.14003,             0.06619,            0.085063,           0.0013453,            0.008614,            0.008614,            0.008614
                  44,            0.067229,             0.07996,           0.0036866,              0.6219,             0.57261,             0.61365,             0.15696,            0.064405,            0.082701,           0.0014221,            0.008581,            0.008581,            0.008581
                  45,            0.066089,            0.092592,           0.0036256,             0.51745,             0.57432,             0.55552,             0.18207,            0.062032,            0.091851,           0.0011293,            0.008548,            0.008548,            0.008548
                  46,            0.065775,            0.089987,           0.0033093,             0.29609,             0.61813,             0.41957,             0.12918,            0.066909,            0.086063,           0.0012409,            0.008515,            0.008515,            0.008515
                  47,            0.063201,             0.08627,           0.0031368,             0.41079,             0.58284,             0.52012,             0.12615,              0.0635,            0.080669,           0.0010257,            0.008482,            0.008482,            0.008482
                  48,            0.067196,            0.087238,           0.0028453,             0.29887,             0.67233,             0.32375,             0.08125,            0.066887,              0.0788,           0.0010418,            0.008449,            0.008449,            0.008449
                  49,            0.068682,            0.089968,           0.0028666,              0.4772,             0.61941,             0.57079,             0.17091,            0.062738,            0.081392,          0.00092374,            0.008416,            0.008416,            0.008416
                  50,            0.067102,            0.089169,           0.0031845,              0.6365,             0.57125,             0.61469,              0.1775,             0.06808,            0.077244,           0.0010041,            0.008383,            0.008383,            0.008383
                  51,            0.062026,            0.078515,           0.0030795,             0.51922,             0.70082,             0.64398,             0.21746,            0.059381,            0.079965,           0.0011015,             0.00835,             0.00835,             0.00835
                  52,            0.061593,            0.087551,           0.0031994,             0.60447,             0.57973,             0.60679,             0.21433,            0.061539,            0.077869,           0.0011144,            0.008317,            0.008317,            0.008317
                  53,             0.05994,            0.087305,            0.003016,             0.52329,              0.7164,             0.61734,             0.18706,            0.058547,            0.079599,           0.0010723,            0.008284,            0.008284,            0.008284
                  54,            0.059669,             0.09551,           0.0029999,             0.45674,             0.62582,             0.49884,             0.14136,            0.060218,             0.07998,           0.0011558,            0.008251,            0.008251,            0.008251
                  55,            0.058805,            0.089343,           0.0032831,             0.46191,             0.65302,             0.49071,             0.16088,            0.057641,            0.078136,            0.001234,            0.008218,            0.008218,            0.008218
                  56,            0.065113,            0.087093,           0.0031291,             0.36725,             0.51613,             0.42813,             0.12215,            0.068333,            0.075922,           0.0014789,            0.008185,            0.008185,            0.008185
                  57,            0.061185,            0.089765,           0.0032985,             0.59973,             0.68202,             0.62036,             0.22638,            0.054271,            0.081126,           0.0014531,            0.008152,            0.008152,            0.008152
                  58,            0.063103,            0.095219,           0.0028934,             0.38632,             0.58134,              0.5346,             0.18745,            0.067047,            0.078871,           0.0015576,            0.008119,            0.008119,            0.008119
                  59,            0.058883,            0.091509,           0.0030858,             0.54047,             0.61757,             0.58235,             0.21661,            0.055825,            0.082393,           0.0016505,            0.008086,            0.008086,            0.008086
                  60,            0.056273,            0.087715,           0.0026977,             0.51089,             0.61703,              0.5863,             0.18407,            0.057746,            0.081532,            0.001628,            0.008053,            0.008053,            0.008053
                  61,            0.059033,             0.08454,           0.0026411,             0.44216,             0.61895,              0.5494,             0.21792,             0.05759,             0.07978,           0.0014604,             0.00802,             0.00802,             0.00802
                  62,            0.059229,             0.08567,           0.0022559,             0.52267,             0.80724,              0.6155,             0.20288,            0.057428,            0.078501,           0.0017152,            0.007987,            0.007987,            0.007987
                  63,            0.056659,             0.08623,           0.0027855,             0.55935,              0.7514,             0.66794,             0.23698,            0.055872,            0.079579,           0.0012389,            0.007954,            0.007954,            0.007954
                  64,            0.057954,            0.089182,           0.0024167,             0.53693,             0.65244,             0.59119,             0.17377,            0.058164,            0.078998,           0.0012279,            0.007921,            0.007921,            0.007921
                  65,             0.05602,             0.09043,           0.0026124,             0.45536,             0.74708,             0.62748,              0.1788,            0.058987,             0.07974,           0.0013213,            0.007888,            0.007888,            0.007888
                  66,            0.057529,            0.078515,           0.0019808,             0.54258,             0.62658,             0.59099,             0.18526,            0.061293,            0.081547,           0.0015758,            0.007855,            0.007855,            0.007855
                  67,            0.055691,            0.086482,           0.0024398,             0.41273,             0.62026,              0.5599,             0.17805,            0.058481,            0.082633,           0.0016189,            0.007822,            0.007822,            0.007822
                  68,            0.056597,            0.084271,           0.0019684,             0.45469,             0.75419,             0.59294,             0.20924,            0.058323,            0.083799,           0.0013913,            0.007789,            0.007789,            0.007789
                  69,            0.053887,            0.087764,           0.0021864,             0.43117,             0.74972,             0.58154,             0.22088,            0.055925,            0.082218,           0.0011461,            0.007756,            0.007756,            0.007756
                  70,            0.055127,            0.091821,           0.0021116,             0.42088,             0.65599,             0.57359,             0.19436,            0.057503,            0.082434,           0.0011609,            0.007723,            0.007723,            0.007723
                  71,            0.052266,            0.089663,           0.0023296,             0.55046,             0.70476,             0.63601,             0.20182,            0.054167,            0.081876,           0.0010179,             0.00769,             0.00769,             0.00769
                  72,            0.055144,            0.089086,           0.0022354,             0.53943,             0.55196,             0.56735,             0.17195,            0.056362,            0.081889,           0.0010175,            0.007657,            0.007657,            0.007657
                  73,            0.052539,             0.08616,           0.0021792,              0.6099,             0.65574,             0.64981,             0.21853,            0.056481,            0.083557,           0.0011125,            0.007624,            0.007624,            0.007624
                  74,            0.055646,            0.086457,           0.0019879,             0.54802,             0.62442,             0.55766,             0.17391,            0.057413,            0.084882,           0.0012918,            0.007591,            0.007591,            0.007591
